The configuration settings in the file confs/conf_train_ldmcpc_model.py:

max_epochs = 100
patience = 20
dropout = 0.0
batch_size = 8
learning_rate = 2e-3
num_speakers = 10
num_frames_encoding = 128
future_predicted_timesteps = 4
train_model = 1
test_model = 1
load_model = 0
rand_init = 0
save_best_model = 1
print_conf_contents = 1
encoder_name = 'CPC_encoder'
autoregressive_model_name = 'CPC_autoregressive_model'
postnet_name = 'CPC_postnet'
rnn_models_used_in_ar_model = 0
dataset_name = 'CPCDataset' #*
loss_name = 'CPC_loss_no_classes'
loss_params = {'future_predicted_timesteps': future_predicted_timesteps}
optimization_algorithm = 'Adam'
optimization_algorithm_params = {'lr': learning_rate}
use_lr_scheduler = 1
lr_scheduler = 'ReduceLROnPlateau'
lr_scheduler_params = {'mode': 'min',
                       'factor': 0.5,
                       'patience': 30}
encoder_params = {'dropout': dropout}
ar_model_params = {'type':'ldm'}
w_params = {'future_predicted_timesteps': future_predicted_timesteps,
            'detach':False}
w_use_ldm_params = 0
encoder_best_model_name = f"models/{num_speakers}/CPC_Encoder_best_model_{ar_model_params['type']}_ldmfcst{w_use_ldm_params}.pt"
ar_best_model_name = f"models/{num_speakers}/CPC_AR_best_model_{ar_model_params['type']}_ldmfcst{w_use_ldm_params}.pt"
w_best_model_name = f"models/{num_speakers}/W_best_model_{ar_model_params['type']}_ldmfcst{w_use_ldm_params}.pt"
random_seed = 22
params_train_dataset = {'random_seed': random_seed, 'num_speakers': num_speakers}
params_validation_dataset = {'random_seed': random_seed, 'num_speakers': num_speakers}
params_test_dataset = {'random_seed': random_seed, 'num_speakers': num_speakers}
params_train = {'batch_size': batch_size,
                'shuffle': True,
                'drop_last': True,
                'num_workers': 0,
                'pin_memory': False}
params_test = {'batch_size': batch_size,
               'shuffle': False,
               'drop_last': True}
name_of_log_textfile = f"logs/cpc_trainlog_{ar_model_params['type']}_ldmfcst{w_use_ldm_params}_rndinit{rand_init}.txt"
train_size = 0.8

########################################################################################



Process on cuda

Number of parameters:
Encoder #params:  4730624 (%91.1)
AR #params:        197376 (%3.8)
W #params:         262144 (%5.1)
Total #params: 5190144

Initializing training set...
Done!
Initializing validation set...
Done!
Initializing test set...
Done!

Starting training...
Epoch: 0001 | Mean training loss: 280.2681 | Mean validation loss: 196.8862 (lowest: 196.8862) | training acc: 29.6336% | validation acc : 34.6154% | Duration: 181.7594 seconds
Epoch: 0002 | Mean training loss: 142.2480 | Mean validation loss: 186.3685 (lowest: 186.3685) | training acc: 38.5776% | validation acc : 46.1538% | Duration: 155.3510 seconds
Epoch: 0003 | Mean training loss: 115.1664 | Mean validation loss: 99.7256 (lowest: 99.7256) | training acc: 45.1509% | validation acc : 42.3077% | Duration: 154.3855 seconds
Epoch: 0004 | Mean training loss: 86.8151 | Mean validation loss: 90.7857 (lowest: 90.7857) | training acc: 47.4138% | validation acc : 56.7308% | Duration: 153.1724 seconds
Epoch: 0005 | Mean training loss: 75.8150 | Mean validation loss: 82.4507 (lowest: 82.4507) | training acc: 55.2802% | validation acc : 39.4231% | Duration: 156.2494 seconds
Epoch: 0006 | Mean training loss: 69.6094 | Mean validation loss: 87.5749 (lowest: 82.4507) | training acc: 57.1121% | validation acc : 33.6538% | Duration: 163.9395 seconds
Epoch: 0007 | Mean training loss: 65.2508 | Mean validation loss: 81.2980 (lowest: 81.2980) | training acc: 59.6983% | validation acc : 41.3462% | Duration: 167.0911 seconds
Epoch: 0008 | Mean training loss: 58.2803 | Mean validation loss: 86.4277 (lowest: 81.2980) | training acc: 62.3922% | validation acc : 53.8462% | Duration: 159.1225 seconds
Epoch: 0009 | Mean training loss: 52.6673 | Mean validation loss: 68.7734 (lowest: 68.7734) | training acc: 70.0431% | validation acc : 47.1154% | Duration: 157.2284 seconds
Epoch: 0010 | Mean training loss: 46.7883 | Mean validation loss: 63.1852 (lowest: 63.1852) | training acc: 74.0302% | validation acc : 49.0385% | Duration: 157.3014 seconds
Epoch: 0011 | Mean training loss: 41.6185 | Mean validation loss: 59.2267 (lowest: 59.2267) | training acc: 75.1078% | validation acc : 71.1538% | Duration: 160.6537 seconds
Epoch: 0012 | Mean training loss: 38.8699 | Mean validation loss: 101.3404 (lowest: 59.2267) | training acc: 77.4784% | validation acc : 56.7308% | Duration: 164.6805 seconds
Epoch: 0013 | Mean training loss: 35.1836 | Mean validation loss: 53.1416 (lowest: 53.1416) | training acc: 79.3103% | validation acc : 63.4615% | Duration: 165.4961 seconds
Epoch: 0014 | Mean training loss: 34.1901 | Mean validation loss: 52.4254 (lowest: 52.4254) | training acc: 79.4181% | validation acc : 68.2692% | Duration: 165.7299 seconds
